bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i15_private              , 10 , 1024 , 4079  
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i31_private              , 10 , 1024 , 14172 
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i32_private              , 10 , 1024 , 7364  
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i62_private              , 10 , 1024 , 25228 
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i15_public               , 10 , 1024 , 2172  
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i31_public               , 10 , 1024 , 8383  
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i32_public               , 10 , 1024 , 4009  
bearssl   , 0.6     , gcc   , gcc (GCC) 14.2.1 20240910                       , br_rsa_i62_public               , 10 , 1024 , 18036 
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont_consttime_x2    , 10 , 1024 , 115996
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont                 , 10 , 1024 , 51108 
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont_consttime       , 10 , 1024 , 48140 
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_sign                   , 10 , 1024 , 45937 
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_verify                 , 10 , 1024 , 2613990
openssl   , 3.4.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_sign_crt               , 10 , 1024 , 156342
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont_consttime_x2    , 10 , 1024 , 110332
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont                 , 10 , 1024 , 50544 
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , BN_mod_exp_mont_consttime       , 10 , 1024 , 42512 
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_sign                   , 10 , 1024 , 44326 
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_verify                 , 10 , 1024 , 2186441
openssl   , 3.0.7   , gcc   , gcc (GCC) 14.2.1 20240910                       , EVP_PKEY_sign_crt               , 10 , 1024 , 147076
gmp       , 6.3.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , mpz_powm                        , 10 , 1024 , 48171 
gmp       , 6.3.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , mpz_powm_sec                    , 10 , 1024 , 41384 
gmp       , 6.2.1   , gcc   , gcc (GCC) 14.2.1 20240910                       , mpz_powm                        , 10 , 1024 , 39791 
gmp       , 6.2.1   , gcc   , gcc (GCC) 14.2.1 20240910                       , mpz_powm_sec                    , 10 , 1024 , 34879 
gmp       , 6.1.2   , gcc   , gcc (GCC) 14.2.1 20240910                       , mpz_powm                        , 10 , 1024 , 38232 
gmp       , 6.1.2   , gcc   , gcc (GCC) 14.2.1 20240910                       , mpz_powm_sec                    , 10 , 1024 , 33144 
nettle    , 3.10    , gcc   , gcc (GCC) 14.2.1 20240910                       , rsa_sha1_sign_digest            , 10 , 1024 , 134558
nettle    , 3.10    , gcc   , gcc (GCC) 14.2.1 20240910                       , rsa_sha1_verify_digest          , 10 , 1024 , 2625395
nettle    , 3.8.1   , gcc   , gcc (GCC) 14.2.1 20240910                       , rsa_sha1_sign_digest            , 10 , 1024 , 133077
nettle    , 3.8.1   , gcc   , gcc (GCC) 14.2.1 20240910                       , rsa_sha1_verify_digest          , 10 , 1024 , 2587467
mbedtls   , 3.6.2   , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_rsa_public              , 10 , 1024 , 655725
mbedtls   , 3.6.2   , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_rsa_private             , 10 , 1024 , 31558 
mbedtls   , 3.6.2   , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_mpi_exp_mod             , 10 , 1024 , 17844 
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_rsa_public              , 10 , 1024 , 1037927
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_rsa_private             , 10 , 1024 , 8778  
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_mpi_exp_mod             , 10 , 1024 , 6195  
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_rsa_public              , 10 , 1024 , 1116027
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_rsa_private             , 10 , 1024 , 9051  
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_mpi_exp_mod             , 10 , 1024 , 7903  
libgcrypt , 1.11.0  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_mpi_powm                   , 10 , 1024 , 12716 
libgcrypt , 1.11.0  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_verify                  , 10 , 1024 , 1062345
libgcrypt , 1.11.0  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign_crt                , 10 , 1024 , 19302 
libgcrypt , 1.11.0  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign                    , 10 , 1024 , 12323 
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_mpi_powm                   , 10 , 1024 , 11957 
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_verify                  , 10 , 1024 , 1001612
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign_crt                , 10 , 1024 , 23394 
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign                    , 10 , 1024 , 11889 
libgcrypt , 1.8.10  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_mpi_powm                   , 10 , 1024 , 12460 
libgcrypt , 1.8.10  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_verify                  , 10 , 1024 , 1034440
libgcrypt , 1.8.10  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign_crt                , 10 , 1024 , 23318 
libgcrypt , 1.8.10  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign                    , 10 , 1024 , 11650 
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i15_private              , 10 , 1024 , 3833  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i31_private              , 10 , 1024 , 14418 
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i32_private              , 10 , 1024 , 7766  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i62_private              , 10 , 1024 , 22806 
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i15_public               , 10 , 1024 , 2245  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i31_public               , 10 , 1024 , 8850  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i32_public               , 10 , 1024 , 5101  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i62_public               , 10 , 1024 , 16738 
openssl   , 3.4.0   , clang , clang version 18.1.8                            , BN_mod_exp_mont_consttime_x2    , 10 , 1024 , 96250 
openssl   , 3.4.0   , clang , clang version 18.1.8                            , BN_mod_exp_mont                 , 10 , 1024 , 47287 
openssl   , 3.4.0   , clang , clang version 18.1.8                            , BN_mod_exp_mont_consttime       , 10 , 1024 , 44050 
openssl   , 3.4.0   , clang , clang version 18.1.8                            , EVP_PKEY_sign                   , 10 , 1024 , 43636 
openssl   , 3.4.0   , clang , clang version 18.1.8                            , EVP_PKEY_verify                 , 10 , 1024 , 2406500
openssl   , 3.4.0   , clang , clang version 18.1.8                            , EVP_PKEY_sign_crt               , 10 , 1024 , 147904
openssl   , 3.0.7   , clang , clang version 18.1.8                            , BN_mod_exp_mont_consttime_x2    , 10 , 1024 , 103144
openssl   , 3.0.7   , clang , clang version 18.1.8                            , BN_mod_exp_mont                 , 10 , 1024 , 48382 
openssl   , 3.0.7   , clang , clang version 18.1.8                            , BN_mod_exp_mont_consttime       , 10 , 1024 , 45140 
openssl   , 3.0.7   , clang , clang version 18.1.8                            , EVP_PKEY_sign                   , 10 , 1024 , 43658 
openssl   , 3.0.7   , clang , clang version 18.1.8                            , EVP_PKEY_verify                 , 10 , 1024 , 2611539
