bearssl   , 0.6     , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , br_rsa_i15_public               , 10 , 1024 , 1441  
bearssl   , 0.6     , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , br_rsa_i31_public               , 10 , 1024 , 5400  
bearssl   , 0.6     , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , br_rsa_i32_public               , 10 , 1024 , 3001  
bearssl   , 0.6     , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , br_rsa_i62_public               , 10 , 1024 , 10167 
bearssl   , 0.6     , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , br_rsa_i15_private              , 10 , 1024 , 2642  
bearssl   , 0.6     , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , br_rsa_i31_private              , 10 , 1024 , 9351  
bearssl   , 0.6     , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , br_rsa_i32_private              , 10 , 1024 , 5226  
bearssl   , 0.6     , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , br_rsa_i62_private              , 10 , 1024 , 15980 
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_sign_crt               , 10 , 1024 , 105428
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , BN_mod_exp_mont                 , 10 , 1024 , 35355 
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , BN_mod_exp_mont_consttime       , 10 , 1024 , 33937 
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_verify                 , 10 , 1024 , 1811823
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_sign                   , 10 , 1024 , 33232 
