openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , EVP_PKEY_sign_crt               , 10 , 1024 , 147021
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , EVP_PKEY_verify                 , 10 , 1024 , 2260160
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , BN_mod_exp_mont                 , 10 , 1024 , 47207 
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , BN_mod_exp_mont_consttime       , 10 , 1024 , 44241 
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , EVP_PKEY_sign                   , 10 , 1024 , 43180 
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , BN_mod_exp_mont_consttime_x2    , 10 , 1024 , 43714 
gmp       , 6.2.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm                        , 10 , 1024 , 43599 
gmp       , 6.2.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm_sec                    , 10 , 1024 , 37414 
gmp       , 6.1.2   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm                        , 10 , 1024 , 34376 
gmp       , 6.1.2   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm_sec                    , 10 , 1024 , 30622 
gmp       , 5.1.3   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm                        , 10 , 1024 , 32446 
gmp       , 5.1.3   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm_sec                    , 10 , 1024 , 26974 
nettle    , 3.8.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , rsa_sha1_verify_digest          , 10 , 1024 , 2328110
nettle    , 3.8.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , rsa_sha1_sign_digest            , 10 , 1024 , 124404
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_private             , 10 , 1024 , 7634  
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_mpi_exp_mod             , 10 , 1024 , 6653  
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_public              , 10 , 1024 , 883748
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_private             , 10 , 1024 , 8082  
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_mpi_exp_mod             , 10 , 1024 , 6901  
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_public              , 10 , 1024 , 902064
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_pk_verify                  , 10 , 1024 , 766518
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_pk_sign_crt                , 10 , 1024 , 18243 
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_mpi_powm                   , 10 , 1024 , 9403  
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_pk_sign                    , 10 , 1024 , 9741  
openssl   , 3.0.7   , clang , clang version 15.0.7                            , EVP_PKEY_sign_crt               , 10 , 1024 , 143626
openssl   , 3.0.7   , clang , clang version 15.0.7                            , EVP_PKEY_verify                 , 10 , 1024 , 2297285
openssl   , 3.0.7   , clang , clang version 15.0.7                            , BN_mod_exp_mont                 , 10 , 1024 , 48890 
